stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
12ADOUSN,12ADOUSN,12TH AVE S & S DOUGLAS AVE SB,12TH AV S & S DOUGLAS AV,36.130882,-86.788825,,,,,,
MERWILSN,MERWILSN,MERIDIAN ST & WILBURN ST SB,,36.185733,-86.768284,,,,,,
MERBERSN,MERBERSN,MERIDIAN ST & BERRY ST SB,,36.181242,-86.768992,,,,,,
SPR1SWN,SPR1SWN,SPRING ST & N 1ST ST WB,,36.17701,-86.774366,,,,,,0
REVROWEF,REVROWEF,Revels Dr & Rowan Dr EB,ROWAN DR & REVELS DR,36.222723,-86.809341,,,,,,
REVWHIWN,REVWHIWN,REVELS DR & WHITES CREEK PIKE WB,542 REVELS DR,36.221017,-86.805541,,,,,,0
BAPGOOSN,BAPGOOSN,BAPTIST WORLD CENTER DR & GOOCH ST SB,BAPTIST WORLD CTR DR & GOOCH ST,36.206038,-86.790873,,,,,,
BAPWEASN,BAPWEASN,BAPTIST WORLD CENTER  DR & WEAKLEY AVE SB,BAPTIST WORLD CTR DR & WEAKLEY,36.196752,-86.782971,,,,,,0
FERBRIWN,FERBRIWN,FERN AVE & BRICK CHURCH PK WB,,36.195725,-86.776665,,,,,,0
WHITONWN,WHITONWN,WHITES CREEK PIKE & TONEY RD WB,WHITES CREEK PK & TONEY RD,36.208556,-86.793926,,,,,,0
WHINOCWN,WHINOCWN,WHITES CREEK PIKE & W NOCTURNE DR W,2390 WHITES CREEK PIKE & NOCTURNE DR E,36.211336,-86.797259,,,,,,0
ROWCARWN,ROWCARWN,ROWAN DR & CARVATH DR WB,,36.220705,-86.811294,,,,,,0
10APONNN,10APONNN,10TH AVE N & PONDER PL NB,2292 9TH AVE & 10TH AVE,36.190265,-86.806063,,,,,,0
EDG17AEN,EDG17AEN,EDGEHILL AVE & 17TH AVE S EB,EDGEHILL AV & 17TH AV S,36.143454,-86.794478,,,,,,
ROSGARSN,ROSGARSN,ROSA PARKS BLVD & GARFIELD ST SB,STATE HWY 12 & 8TH AVE N,36.180215,-86.796218,,,,,,
11AJANSN,11AJANSN,11TH AVE N & JANE ST SB,11TH AV N & JANE,36.177882,-86.802933,,,,,,0
COC12AWN,COC12AWN,COCKRILL ST & 12TH AVE N,COCKRILL ST & 12TH AV N,36.176544,-86.803166,,,,,,0
COC14AWN,COC14AWN,COCKRILL ST & 14TH AVE N,COCKRILL ST & 14TH N,36.175944,-86.804242,,,,,,
21SWESSN,21SWESSN,21ST AVE S & WEST END AVE SB,21ST AV N & WEST END,36.15081,-86.801524,,,,,,0
COC17AWN,COC17AWN,COCKRILL ST & 17TH AVE WB,COCKRILL ST & 17TH N,36.174658,-86.806598,,,,,,
23AOSANN,23AOSANN,23RD AVE N & OSAGE ST,23RD AV N & OSAGE,36.176552,-86.813598,,,,,,
LEBOLDSF,LEBOLDSF,LEBANON PIKE & OLD HICKORY BLVD SB,,36.197061,-86.621058,,,,,,
3AVMADNF,3AVMADNF,3RD AVE N & MADISON ST NB,3RD AV N & MONROE ST,36.176882,-86.785814,,,,,,
3AVTAYNN,3AVTAYNN,3RD AVE N & TAYLOR ST NB,3RD AV N & TAYLOR ST,36.179259,-86.787365,,,,,,
3ACOFNN,3ACOFNN,3RD AVE N & COFFEE ST NB,3RD AV N & COFFEE ST,36.186852,-86.793303,,,,,,0
BULJONWN,BULJONWN,BULLOCK AVE & JONES AVE,,36.21566,-86.755942,,,,,,
JONJONS,JONJONS,JONES AVE & JONES CIR SB,JONES AV & JONES CR,36.208892,-86.757212,,,,,,
JONTRISN,JONTRISN,JONES AVE & E TRINITY LN SB,,36.205337,-86.757676,,,,,,
JONNORNN,JONNORNN,JONES AVE & NORTON AVE NB,,36.20725,-86.757426,,,,,,
JONJONF,JONJONF,JONES AVE & JONES CIR NB,JONES AV & JONES CR,36.208884,-86.757078,,,,,,
ELMHENWN,ELMHENWN,ELM HILL PIKE & HENEY DR WB,ELM HILL PK & HENEY DR,36.151357,-86.671109,,,,,,
ELMARWWF,ELMARWWF,ELM HILL PK & AIRWAYS CIR WB,ELM HILL PK & AIRWAYS CR,36.152308,-86.681416,,,,,,0
ELMMASEN,ELMMASEN,ELMHILL PK & MASSMAN DR EB,ELM HILL PK & MASSMAN DR,36.14472,-86.711248,,,,,,
ELMARWEF,ELMARWEF,ELM HILL PK & AIRWAYS CR EB,2522 ELM HILL PIKE & AIRWAYS CIR,36.151926,-86.680505,,,,,,0
FORFORSF,FORFORSF,FOREST PARK & FOREST PARK APARTMENT,FOREST PARK RD & COVENTRY WOODS DR,36.257763,-86.704105,,,,,,0
NEETAHEN,NEETAHEN,NEELYS BEND RD & TAHLENA AVE EB,,36.25148,-86.691662,,,,,,
NEECANEN,NEECANEN,NEELYS BEND RD & CANTON PASS,NEELYS BEND RD & COGGIN PA,36.242883,-86.676689,,,,,,
NEEFOREN,NEEFOREN,NEELYS BEND RD & FOREST PARK RD,,36.255263,-86.704591,,,,,,0
GALCONSF,GALCONSF,GALLATIN PK & CONFERENCE DR SB,N GALLATIN PK & CONFERENCE DR,36.302544,-86.692333,,,,,,
4AVCOMSN,4AVCOMSN,4TH AVE N & COMMERCE ST SB,4TH AV N & COMMERCE ST,36.162511,-86.778241,,,,,,0
NEERANEN,NEERANEN,NEELYS BEND RD & RANDY RD,,36.252256,-86.694108,,,,,,0
BRIWORSN,BRIWORSN,BRIARVILLE RD & CREATIVE WAY SB,BRIARVILLE RD & CHERON RD RAMP,36.242637,-86.736663,,,,,,0
51AILLNF,51AILLNF,51ST AVE N & ILLINOIS AVE NB,ILLINOIS AV & 49TH AV N,36.15788,-86.848785,,,,,,
MORGEOSN,MORGEOSN,MORROW RD & GEORGIA AVE SB,,36.155318,-86.8529,,,,,,
MORILLSN,MORILLSN,MORROW RD & ILLINOIS AVE SB,MORROW RD & UNKNOWN AL,36.157518,-86.853558,,,,,,
3AGARSF,3AGARSF,3RD AVE N & GARFIELD ST SB,3RD AV N & GARFIELD ST,36.183033,-86.789923,,,,,,1
8ASDIVNN,8ASDIVNN,8TH AVE S & DIVISION ST NB,US HWY 31 & 8TH AVE S,36.149624,-86.779058,,,,,,
BRO2AWN,BRO2AWN,BROADWAY AVE & 2ND AVE N WB,BROADWAY & 2ND AV N,36.161991,-86.775075,,,,,,0
HERPEAWN,HERPEAWN,HERMITAGE AVE & PEABODY ST WB,HERMITAGE AV & LEA AV,36.157392,-86.770331,,,,,,
HERPEAEN,HERPEAEN,HERMITAGE AVE & PEABODY ST EB,,36.157437,-86.770645,,,,,,0
GWYEWIN,GWYEWIN,GWYNNWOOD DR & EWING DR NB,,36.231649,-86.792356,,,,,,
EWIKNIWN,EWIKNIWN,EWING DR & KNIGHT RD,EWING DR & CLAYMILLE BV,36.23173,-86.803845,,,,,,
WHIPIESN,WHIPIESN,WHITES CREEK PIKE & PIERPOINT DR SB,WHITES CREEK PK & CLAYMILLE BV,36.213948,-86.800167,,,,,,0
BRIFERSN,BRIFERSN,BRICK CHURCH PIKE & FERN AVE SB,,36.195857,-86.776757,,,,,,
BAPVASWN,BAPVASWN,BAPTIST WORLD CENTER DR & VASHTI ST WB,BAPTIST WORLD CTR DR & WILLIS ST,36.194859,-86.779706,,,,,,
BRKFERNN,BRKFERNN,BRICK CHURCH PIKE & FERN AVE NB,,36.1956,-86.776631,,,,,,
WHIAVANN,WHIAVANN,WHITES CREEK PIKE & AVALON DR NB,WHITES CREEK PK & AVALON DR,36.212296,-86.798483,,,,,,
1AVDEMSN,1AVDEMSN,1ST AVE S & DEMONBREUN ST SB,1ST AV S & DEMONBREUN ST,36.16033,-86.773258,,,,,,
1AVKORSN,1AVKORSN,1ST AVE S & KOREAN VETS BLVD SB,1ST AV S & GATEWAY,36.15858,-86.772148,,,,,,
LEBDONWN,LEBDONWN,LEBANON PIKE & DONELSON PIKE WB,2778 LEBANON PIKE & DONELSON PIKE,36.167648,-86.662889,,,,,,0
21ASTASN,21ASTASN,21ST AVE N & STATE ST SB,21ST AV N & STATE ST,36.153391,-86.803474,,,,,,
21ACHUSF,21ACHUSF,21ST AVE N & CHURCH ST SB,21ST AV N & CHURCH ST,36.152174,-86.802546,,,,,,
ROSEPARK,ROSEPARK,ROSE PARK MAGNET SCHOOL,,36.142642,-86.780897,,,,,,
CXORICHL,CXORICHL,46TH AVE/RICHLAND PARK STATION OUTBOUND,4582 CHARLOTTE AVE & 46TH AVE,36.152286,-86.842032,,,,,,1
WHIDICNF,WHIDICNF,WHITES CREEK PIKE & DICKERSON PIKE,,36.189324,-86.773403,,,,,,
WHIDICSN,WHIDICSN,WHITES CREEK PIKE & DICKERSON PK SB,WHITES CREEK PK & DICKERSON PK,36.18893,-86.773288,,,,,,
N1SOLDNM,N1SOLDNM,N 1ST ST & OLDHAM ST NB,1ST ST N,36.175433,-86.77432,,,,,,0
WHALAFNF,WHALAFNF,WHARF AVE & LAFAYETTE ST NB,CHARLES E DAVIS BLVD & J C NAPIER CT,36.149009,-86.762358,,,,,,0
CHE4AEN,CHE4AEN,CHESTNUT ST & 4TH AVE  S EB,CHESTNUT ST & 4TH AV S,36.144846,-86.766756,,,,,,
CHE8AAEF,CHE8AAEF,CHESTNUT ST & 8TH AVE S EB,EDGEHILL AV & 8TH,36.141666,-86.778257,,,,,,0
8AHARSN,8AHARSN,8TH AVE N  & HARRISON ST SB,8TH AV N & HARRISON ST,36.168626,-86.788446,,,,,,0
HAR8AEN,HAR8AEN,HARRISON ST & 8TH AVE N EB,HARRISON ST & 8TH AV N,36.168492,-86.788412,,,,,,
OAKBULNN,OAKBULNN,OAKWOOD AVE & BULLOCK AVE NB,,36.215088,-86.753136,,,,,,
WTRBRIEN,WTRBRIEN,W TRINITY LN & BRICK CHURCH PIKE,W TRINITY LN & BRICK CHURCH PK,36.206528,-86.778276,,,,,,
GRWHIWN,GRWHIWN,GREEN LN & WHITES CREEK PIKE WB,GREEN LN & WHITES CREEK PK,36.236246,-86.816768,,,,,,
WHGRENN,WHGRENN,WHITES CREEK PIKE & GREEN LN NB,WHITES CREEK PK & GREEN LN,36.235665,-86.816398,,,,,,
JAM7AVEN,JAM7AVEN,JAMES ROBERTSON PKWY & 7TH AVE N,,36.167729,-86.78646,,,,,,0
8AVUNINN,8AVUNINN,8TH AVE N & UNION ST NB,8TH AV N & UNION ST,36.162858,-86.784621,,,,,,
HER10AEN,HER10AEN,HERMAN ST & 10TH AVE N EB,HERMAN ST & WARREN ST,36.168599,-86.792855,,,,,,
ABBANEN,ABBANEN,ABBOTT MARTIN RD & BANDYWOOD DR EB,,36.106102,-86.816307,,,,,,
DRDCHASN,DRDCHASN,DR DB TODD JR BLVD & CHARLOTTE AVE SB,DR D B TODD JR BV & CHARLOTTE AV,36.158142,-86.800279,,,,,,
HARMETEF,HARMETEF,HARDING PL & METROPLEX DR EB,HARDING PL & PARMAN PL,36.086689,-86.69518,,,,,,
JAM5AEN,JAM5AEN,JAMES ROBERTSON PKWY & 5TH AVE N EB,JAMES ROBERTSON PW & 5TH AV N,36.16867,-86.78388,,,,,,
CLA23AEN,CLA23AEN,CLARKSVILLE PIKE & 23RD AVE N EB,,36.18414,-86.814736,,,,,,
KINMEAEN,KINMEAEN,KINGS LN & MEADOW HILL DR EB,,36.220147,-86.825067,,,,,,0
MCSMJ,MCSMJ,MT. JULIET STATION,,36.199384,-86.517,,,,,,0
MCSMS,MCSMS,MARTHA STATION,,36.228922,-86.425777,,,,,,0
MCSLB,MCSLB,LEBANON STATION,,36.212085,-86.29724,,,,,,
MCSRVRF,MCSRVRF,RIVERFRONT STATION,,36.161803,-86.773763,,,,,,
MCSDONEL,MCSDONEL,DONELSON STATION,NASHVILLE & EASTERN RR,36.167003,-86.666539,,,,,,0
MCSHERM,MCSHERM,HERMITAGE STATION,,36.190234,-86.605609,,,,,,0
LEBANDEN,LEBANDEN,LEBANON PIKE & ANDREW JACKSON PKWY,LEBANON PK,36.215056,-86.598446,,,,,,
SMRY,SMRY,SMYRNA STARS & STRIKES,NOLAN & LOWRY,35.993176,-86.526609,,,,,,0
MTSU,MTSU,M.T.S.U. CAMPUS PARKING LOT,,35.848666,-86.370852,,,,,,
ANDTYLNN,ANDTYLNN,ANDREW JACKSON PKWY & TYLER DR NB,ANDREW JACKSON PW & WEBER RD,36.197284,-86.608466,,,,,,
ANDRACNN,ANDRACNN,ANDREW JACKSON PKWY & RACHEL DONELSON PASS NB,ANDREW JACKSON PW & RACHEL DONELSON PA,36.200297,-86.607804,,,,,,
ANDRSQNN,ANDRSQNN,ANDREW JACKSON PKWY & RACHELS SQUARE DR NB,ANDREW JACKSON PW & RACHELS SQUARE DR,36.201372,-86.607401,,,,,,
ANDRVWNN,ANDRVWNN,ANDREW JACKSON PKWY & RACHELS VIEW NB,ANDREW JACKSON PW & RACHELS VIEW,36.203505,-86.606656,,,,,,
ANDHIGNN,ANDHIGNN,ANDREW JACKSON PKWY & HIGHLAND VIEW DR NB,ANDREW JACKSON PW & RACHELS TL,36.206709,-86.605582,,,,,,0
ANDDESSN,ANDDESSN,ANDREW JACKSON PKWY & DES MOINES DR SB,ANDREW JACKSON PW & DES MOINES DR,36.209748,-86.601994,,,,,,
ANDHIGSN,ANDHIGSN,ANDREW JACKSON PKWY & HIGHLAND VIEW DR SB,ANDREW JACKSON PW & HIGHLAND VIEW DR,36.20704,-86.605671,,,,,,
ANDRVISF,ANDRVISF,ANDREW JACKSON & RACHELS VIEW SB,ANDREW JACKSON PW & RACHELS VIEW,36.203518,-86.606854,,,,,,
ANDTYLSN,ANDTYLSN,ANDREW JACKSON PKWY & TYLER DR SB,ANDREW JACKSON PW & RACHELS VIEW,36.197588,-86.608678,,,,,,
12ACARNN,12ACARNN,12TH AVE S & CARUTHERS AVE NB,12TH AV S & CARUTHERS AV,36.125676,-86.789251,,,,,,
MCGSTRWN,MCGSTRWN,MCGAVOCK PIKE & STRATFORD AVE WB,MCGAVOCK PK & STRATFORD AV,36.208029,-86.716987,,,,,,
PREWILNN,PREWILNN,PREMIER DR & WILCLAY DR NB,PREMIER DR & 48TH AV N,36.144455,-86.880236,,,,,,0
21ASCASM,21ASCASM,21ST AVE S & SCARRITT PL SB,21ST AV S & UNKNOWN AL,36.145382,-86.799742,,,,,,0
CXICENTE,CXICENTE,23RD AVE / CENTENNIAL STATION INBOUND,2257 CHARLOTTE AVE & 23RD AVE,36.155808,-86.809191,,,,,,1
21WE,21WE,21ST AVE PAST WEST END AVE SB,,36.148963,-86.800132,,,,,,0
WG16,WG16,WEDGEWOOD AVE & 16TH AVE EB,WEDGEWOOD AV & 16TH AV S,36.136293,-86.794656,,,,,,0
BAUBELWN,BAUBELWN,BAUGH RD & BELLVUE RD WB,BAUGH RD & BELLEVUE RD,36.068959,-86.941341,,,,,,
NXOJOYNR,NXOJOYNR,JOYNER STATION OUTBOUND,NOLENSVILLE PK & JOYNER AV,36.116571,-86.748178,,,,,,
LINWALWM,LINWALWM,LINBAR DR & WALLACE RD WB,4916 LINBAR DR,36.083421,-86.703471,,,,,,0
NOLCOTNM,NOLCOTNM,NOLENSVILLE PK & COTTON LN,,36.071618,-86.723594,,,,,,0
NOLWOONF,NOLWOONF,WOODYCREST STATION INBOUND,US HWY 31 ALT & WOODYCREST AVE,36.13162,-86.756438,,,,,,0
NXILAFYT,NXILAFYT,LAFAYETTE STATION INBOUND,2ND AV S & CAMERON ST,36.150359,-86.76764,,,,,,1
NOLMCMNN,NOLMCMNN,NOLENSVILLE PIKE & MCMURRAY DR NB,US HWY 31 ALT & MCMURRAY DR,36.061245,-86.716482,,,,,,0
HPKL,HPKL,HAYNES PARK DR & KINGS LN NB,,36.218706,-86.834137,,,,,,
ANNPREEF,ANNPREEF,ANNEX AVE & PREMIER DR EB,ANNEX AV & OLD HICKORY BV,36.140711,-86.882851,,,,,,
PORBRANM,PORBRANM,PORTER RD & BRANCH ST NB,PORTER RD & TURNER ST,36.194256,-86.725595,,,,,,
PORRIVEN,PORRIVEN,PORTER RD & RIVERSIDE DR EB,PORTER RD & PORTER AV,36.195265,-86.724159,,,,,,
MCGSTRWM,MCGSTRWM,MCGAVOCK PIKE & STRATFORD AVE WB,MCGAVOCK PK,36.207101,-86.719288,,,,,,
SHE17SWN,SHE17SWN,SHELBY AVE & S 17TH ST WB,,36.170314,-86.740096,,,,,,
SHE8SWN,SHE8SWN,SHELBY AVE & S 8TH ST WB,,36.170033,-86.756138,,,,,,
5SFATNN,5SFATNN,S 5TH ST & FATHERLAND ST NB,505 FATHERLAND ST & 5TH ST S,36.169807,-86.763406,,,,,,0
WHATUCWM,WHATUCWM,W HAMILTON RD & TUCKER RD WB,,36.212173,-86.827959,,,,,,
HAYDYENN,HAYDYENN,HAYNES PARK DR & DYER CT NB,HAYNES PARK DR & KINGVIEW DR,36.215769,-86.833977,,,,,,
HAYCHANN,HAYCHANN,HAYNES PARK DR & CHARLES CT NB,,36.213417,-86.833893,,,,,,
HAYEVENN,HAYEVENN,HAYNES PARK DR & EVE CR NB,,36.209244,-86.834539,,,,,,0
CLAASHSM,CLAASHSM,CLARKSVILLE PIKE & ASHLAND CITY HWY,3745 CLARKSVILLE PIKE,36.199519,-86.838874,,,,,,0
CLAASHSN,CLAASHSN,CLARKSVILLE PIKE & ASHLAND CITY HWY,3707 CLARKSVILLE PIKE & RAMP,36.198222,-86.838037,,,,,,0
CLAMANSF,CLAMANSF,CLARKSVILLE PIKE & MANCHESTER AVE S,CLARKSVILLE PK & MANCHESTER AV,36.195143,-86.833784,,,,,,
HAYEFANN,HAYEFANN,HAYNES PARK DR & FAIRVIEW DR NB,HAYNES PARK DR & WALTERS CT,36.211611,-86.833805,,,,,,
KINCLAW,KINCLAW,KINGS LN & CLARKSVILLE PK WB,KINGS LN & PEWITT RD,36.218661,-86.83646,,,,,,
CRECRESN,CRECRESN,CREEKWOOD & CREEKLAND CT SB,,36.216897,-86.846225,,,,,,
CRECRWSN,CRECRWSN,CREEKWOOD & CREEKWAY CT SB,,36.21387,-86.845942,,,,,,
TIMFAISN,TIMFAISN,TIMOTHY DR & FAIRVIEW DR SB,,36.212166,-86.844784,,,,,,
FAICLAEN,FAICLAEN,FAIRVIEW DR & CLARKSVILLE PIKE EB,FAIRVIEW DR & CLARKSVILLE PK,36.21099,-86.83911,,,,,,
17AJACNN,17AJACNN,17TH AVE N & JACKSON ST NB,17TH AV N & JACKSON ST,36.166445,-86.803208,,,,,,
44AALBNM,44AALBNM,44TH AVE N & ALBION ST NB,44TH AV N & UNKNOWN AL,36.162353,-86.840033,,,,,,
ALAALBSN,ALAALBSN,ALAMEDA AVE & ALBION ST SB,4088 ALAMEDA ST & ALBION ST,36.161958,-86.835529,,,,,,
CLIINDEN,CLIINDEN,CLIFTON AVE & INDIANA AVE EB,,36.157777,-86.829643,,,,,,0
HER16AEN,HER16AEN,HERMAN ST & 16TH AVE N EB,HERMAN ST & 16TH AV N,36.165374,-86.800325,,,,,,0
JEF21AEN,JEF21AEN,JEFFERSON ST & 21ST AVE N EB,JEFFERSON ST & 21ST AV N,36.169007,-86.809693,,,,,,
FAILEWN,FAILEWN,FAIN ST & LEWIS ST WB,,36.1518,-86.757849,,,,,,
FAICLIE,FAICLIE,FAIN ST & CLAIBORNE ST EB,FAIN ST & UNKNOWN AL,36.15189,-86.760889,,,,,,0
FAICLIWN,FAICLIWN,FAIN ST & CLAIBORNE ST WB,,36.152024,-86.76053,,,,,,
CHAFAINN,CHAFAINN,CHARLES DAVID BLVD & FAIN ST NB,CHARLES E DAVIS BV & FAIN ST,36.151873,-86.761954,,,,,,0
LISVERNN,LISVERNN,LISCHEY AVE & VERNON WINFREY AVE NB,,36.188429,-86.764075,,,,,,
JONDELSM,JONDELSM,JONES AVE & DELLWAY DR SB,JONES AV & VERNON WINFREY AV,36.212017,-86.756818,,,,,,
LISRICSM,LISRICSM,LISCHEY AVE & RICHARDSON AVE SB,LISCHEY AV & UNKNOWN AL,36.191857,-86.763648,,,,,,
21AFAISN,21AFAISN,21ST AVE S & FAIRFAX AVE SB,21ST AV S & MAGNOLIA BV,36.134265,-86.801283,,,,,,
12AASHSF,12AASHSF,12TH AVE S & ASHWOOD AVE SB,12TH AV S & ASHWOOD AV,36.128444,-86.789105,,,,,,
GRAKIRSN,GRAKIRSN,GRANNY WHITE PIKE & KIRKWOOD AVE SB,12TH AV S & KIRKWOOD AV,36.120943,-86.790663,,,,,,
DEM10AEM,DEM10AEM,DEMONBREUN ST & 10TH AVE S,DEMONBREUN ST & 9TH AV S,36.156152,-86.782377,,,,,,
THOEUGEN,THOEUGEN,THOMPSON LN & EUGENIA AVE EB,,36.110999,-86.754673,,,,,,
FAILEWEN,FAILEWEN,FAIN ST & LEWIS ST EB,FAIN ST & UNKNOWN AL,36.151711,-86.758107,,,,,,0
FAIFAIE,FAIFAIE,FAIN ST & FAIRFIELD AVE EB,,36.151613,-86.75675,,,,,,0
CXINVLWS,CXINVLWS,NASHVILLE WEST STATION INBOUND,6803 CHARLOTTE PIKE & HILLWOOD DR W,36.134441,-86.888456,,,,,,0
LEBQUIEN,LEBQUIEN,LEBANON PIKE & QUINN CR EB,US HWY 70 & LEBANON PIKE,36.15909,-86.704467,,,,,,
LEBLISWN,LEBLISWN,LEBANON PIKE & LISA LN  WB,US HWY 70 & LEBANON PIKE,36.159527,-86.703951,,,,,,
COW901SN,COW901SN,901 COWAN ST SB,COWAN ST & UNKNOWN,36.190252,-86.781232,,,,,,
COW901NN,COW901NN,901 COWAN ST NB,COWAN ST & UNNAMED STREET,36.189984,-86.781064,,,,,,
CLAWHASN,CLAWHASN,CLARKSVILLE PIKE & W. HAMILTON AVE,CLARKSVILLE PK & UNKNOWN,36.208641,-86.839573,,,,,,0
GREATHIM,GREATHIM,GREAT CIRCLE RD & ATHENS WAY EB,,36.19918,-86.799771,,,,,,
DICOTRSN,DICOTRSN,DICKERSON PIKE & OLD TRINITY LN SB,DICKERSON PK & OLD TRINITY LN,36.206868,-86.768268,,,,,,0
MTVCURSN,MTVCURSN,MT VIEW RD & CURTIS HOLLOW RD SB,,36.051031,-86.651247,,,,,,
MCC4_23,MCC4_23,CENTRAL 4TH AVE - BAY 23,UNNAMED & 4TH AVE N,36.166786,-86.781435,,,0,MTAMCC,,1
MCC4_21,MCC4_21,CENTRAL 4TH AVE - BAY 21,MUSIC CITY CENTRAL 4TH CIR & 4TH AVE N,36.166688,-86.781614,,,0,MTAMCC,,1
MCC4_19,MCC4_19,CENTRAL 4TH AVE - BAY 19,UNNAMED & 4TH AVE N,36.166581,-86.781917,,,0,MTAMCC,,1
MCC4_15,MCC4_15,CENTRAL 4TH AVE - BAY 15,UNNAMED & 4TH AVE N,36.166322,-86.781446,,,0,MTAMCC,,1
MCC4_13,MCC4_13,CENTRAL 4TH AVE - BAY 13,UNNAMED & 4TH AVE N,36.16642,-86.781199,,,0,MTAMCC,,1
MCC4_24,MCC4_24,CENTRAL 4TH AVE - BAY 24,UNNAMED & 4TH AVE N,36.166751,-86.781412,,,0,MTAMCC,,1
MCC4_22,MCC4_22,CENTRAL 4TH AVE - BAY 22,UNNAMED & 4TH AVE N,36.166643,-86.781659,,,0,MTAMCC,,1
MCC4_20,MCC4_20,CENTRAL 4TH AVE - BAY 20,UNNAMED & 4TH AVE N,36.166545,-86.781895,,,0,MTAMCC,,1
MCC4_18,MCC4_18,CENTRAL 4TH AVE - BAY 18,MUSIC CITY CENTRAL 4TH CIR & MUSIC CITY CENTRAL 5TH CIR,36.166233,-86.781827,,,0,MTAMCC,,1
MCC4_14,MCC4_14,CENTRAL 4TH AVE - BAY 14,UNNAMED & 4TH AVE N,36.166456,-86.781222,,,0,MTAMCC,,1
MCC5_6,MCC5_6,CENTRAL 5TH AVE - BAY 6,UNNAMED & 5TH AVE N,36.166501,-86.781233,,,0,MTAMCC,,1
MCC5_1,MCC5_1,CENTRAL 5TH AVE - BAY 1,MUSIC CITY CENTRAL 5TH CIR & 5TH AVE N,36.166215,-86.781682,,,0,MTAMCC,,1
MCC5_8,MCC5_8,CENTRAL 5TH AVE - BAY 8,UNNAMED & 5TH AVE N,36.166768,-86.781424,,,0,MTAMCC,,1
MCC5_5,MCC5_5,CENTRAL 5TH AVE - BAY 5,MUSIC CITY CENTRAL 5TH CIR & 5TH AVE N,36.166456,-86.781188,,,0,MTAMCC,,1
MCC5_2,MCC5_2,CENTRAL 5TH AVE - BAY 2,,36.166259,-86.781861,,,0,MTAMCC,,1
MCC5_7,MCC5_7,CENTRAL 5TH AVE - BAY 7,UNNAMED & 5TH AVE N,36.166804,-86.781446,,,0,MTAMCC,,1
MCC5_11,MCC5_11,CENTRAL 5TH AVE - BAY 11,MCC - BAY 11 & 5TH AVE N,36.16659,-86.781996,,,0,MTAMCC,,1
MCC5_9,MCC5_9,CENTRAL 5TH AVE - BAY 9,UNNAMED & 5TH AVE N,36.166706,-86.781693,,,0,MTAMCC,,1
MCC5_12,MCC5_12,CENTRAL 5TH AVE - BAY 12,UNNAMED & 5TH AVE N,36.166554,-86.781973,,,0,MTAMCC,,1
MCC5_10,MCC5_10,CENTRAL 5TH AVE - BAY 10,UNNAMED & 5TH AVE N,36.16667,-86.78167,,,0,MTAMCC,,1
MCC5_4,MCC5_4,CENTRAL 5TH AVE - BAY 4,UNNAMED & 5TH AVE N,36.166402,-86.78148,,,0,MTAMCC,,1
MURSUNEF,MURSUNEF,MURFREESBORO PIKE & SUNSET ST EB,,36.017932,-86.568408,,,,,,
MURREBWF,MURREBWF,MURFREESBORO PIKE & REBECCA WAY WB,,36.018361,-86.568116,,,,,,
VILMOUEF,VILMOUEF,VILLAGE TRL & MOUND CT EB,VILLAGE TRL & HAWK VIEW CT,36.246878,-86.775413,,,,,,
2AJOJNM,2AJOJNM,2ND AVE N & JO JOHNSTON AVE NB,769 2ND AVE,36.171558,-86.781116,,,,,,0
2AVJUNNN,2AVJUNNN,2ND AVE N & JUNIOR GILLIAM WAY NB,997 2ND AVE & JACKSON ST,36.17435,-86.782921,,,,,,0
2AGAYNM,2AGAYNM,2ND AVE & GAY ST NB,2ND AVE N & GAY ST,36.169688,-86.779909,,,,,,
LEBFAIWF,LEBFAIWF,LEBANON PIKE & FAIRVIEW WB,LEBANON PIKE & BRILEY PW RAMP,36.16895,-86.683692,,,,,,
6AVDEASN,6AVDEASN,6TH AVE & DEADERICK ST SB,6TH AVE N & UNION ST,36.16483,-86.782945,,,,,,
WHAHAYEN,WHAHAYEN,W HAMILTON AVE & HAYNES PK EB,W HAMILTON AVE & HAYNES PARK DR,36.207544,-86.836351,,,,,,
LAFEWIEN,LAFEWIEN,LAFAYETTE ST & EWING AVE SB,,36.15333,-86.775805,,,,,,0
SOUPREON,SOUPREON,SOUTH PRECINCT,EZELL PIKE & HARDING PL,36.089014,-86.688105,,,,,,0
HAREZEWF,HAREZEWF,HARDING PL & EZELL PK WB,HARDING PL & JONQUIL DR,36.089125,-86.689419,,,,,,
HARANTWF,HARANTWF,HARDING PL & ANTIOCH PK WB,HARDING PL & ANTIOCH PIKE,36.087288,-86.692935,,,,,,0
HARMETWN,HARMETWN,HARDING PL & METROPLEX DR WB,,36.086917,-86.695668,,,,,,
HARANTEN,HARANTEN,HARDING PL & ANTIOCH PK EB,HARDING PL & ANTIOCH PIKE,36.087226,-86.692475,,,,,,
HARLINEF,HARLINEF,HARDING PL & LINBAR DR EB,STATE HWY 255 & HARDING PL,36.084396,-86.704816,,,,,,
HARHUMEF,HARHUMEF,HARDING PL & HUMBER DR EB,HARDING PL & STATE HWY 255,36.081242,-86.714715,,,,,,
GRAMAPNF,GRAMAPNF,GRANNYWHITE PIKE & MAPLEHURST AVE N,,36.104763,-86.79612,,,,,,
